,Model prediction,Ground truth,Array ID
0,11,10,Train_fc_0.npy
1,13,14,Train_fc_1.npy
2,13,13,Train_fc_2.npy
3,10,6,Train_fc_3.npy
4,13,13,Train_fc_4.npy
5,7,10,Train_fc_5.npy
6,0,0,Train_fc_6.npy
7,1,1,Train_fc_7.npy
8,1,1,Train_fc_8.npy
9,13,12,Train_fc_9.npy
10,11,12,Train_fc_10.npy
11,6,7,Train_fc_11.npy
12,2,2,Train_fc_12.npy
13,12,13,Train_fc_13.npy
14,6,9,Train_fc_14.npy
15,13,15,Train_fc_15.npy
16,2,5,Train_fc_16.npy
17,11,12,Train_fc_17.npy
18,11,10,Train_fc_18.npy
19,12,12,Train_fc_19.npy
20,3,3,Train_fc_20.npy
21,13,16,Train_fc_21.npy
22,7,8,Train_fc_22.npy
23,6,7,Train_fc_23.npy
24,5,5,Train_fc_24.npy
25,8,10,Train_fc_25.npy
26,3,2,Train_fc_26.npy
27,9,9,Train_fc_27.npy
28,11,9,Train_fc_28.npy
29,12,14,Train_fc_29.npy
30,13,13,Train_fc_30.npy
31,8,9,Train_fc_31.npy
32,9,10,Train_fc_32.npy
33,13,11,Train_fc_33.npy
34,9,9,Train_fc_34.npy
35,12,11,Train_fc_35.npy
36,15,15,Train_fc_36.npy
37,7,5,Train_fc_37.npy
38,7,8,Train_fc_38.npy
39,9,10,Train_fc_39.npy
40,6,5,Train_fc_40.npy
41,13,15,Train_fc_41.npy
42,16,17,Train_fc_42.npy
43,9,7,Train_fc_43.npy
44,13,10,Train_fc_44.npy
45,6,7,Train_fc_45.npy
46,6,7,Train_fc_46.npy
47,11,8,Train_fc_47.npy
48,13,13,Train_fc_48.npy
49,13,15,Train_fc_49.npy
50,11,15,Train_fc_50.npy
51,9,7,Train_fc_51.npy
52,12,12,Train_fc_52.npy
53,11,11,Train_fc_53.npy
54,15,17,Train_fc_54.npy
55,16,17,Train_fc_55.npy
56,7,8,Train_fc_56.npy
57,11,12,Train_fc_57.npy
58,9,9,Train_fc_58.npy
59,8,8,Train_fc_59.npy
60,3,3,Train_fc_60.npy
61,13,14,Train_fc_61.npy
62,13,12,Train_fc_62.npy
63,11,11,Train_fc_63.npy
64,11,12,Train_fc_64.npy
65,9,11,Train_fc_65.npy
66,15,17,Train_fc_66.npy
67,9,9,Train_fc_67.npy
68,13,17,Train_fc_68.npy
